customerkey,gender,city,state,country,continent,age
15569,Female,COLAC,Victoria,Australia,Australia,40
15718,Female,DAKENBA,Queensland,Australia,Australia,66
16193,Female,ALTONA,South Australia,Australia,Australia,59
16282,Female,REIDS FLAT,New South Wales,Australia,Australia,23
16716,Female,KAYUGA,New South Wales,Australia,Australia,36
17412,Male,VICTORIA PARK,Western Australia,Australia,Australia,54
17811,Female,WATTLE GLEN,Victoria,Australia,Australia,38
18067,Male,MOUNT MCKENZIE,South Australia,Australia,Australia,82
18263,Male,RURAL VIEW,Queensland,Australia,Australia,45
18309,Male,FYANS CREEK,Victoria,Australia,Australia,31
18470,Male,GOSFORD,New South Wales,Australia,Australia,54
18493,Male,TASCOTT,New South Wales,Australia,Australia,29
18714,Male,PINWERNYING,Western Australia,Australia,Australia,51
18887,Female,BOOROLITE,Victoria,Australia,Australia,45
19082,Male,RANSOME,Queensland,Australia,Australia,84
19207,Male,KURRACA,Victoria,Australia,Australia,32
19404,Male,WYNNUM,Queensland,Australia,Australia,26
19534,Female,TOOBORAC,Victoria,Australia,Australia,59
19579,Female,BARCALDINE,Queensland,Australia,Australia,74
19726,Female,WATANOBBI,New South Wales,Australia,Australia,50
19732,Female,WAPPILKA,South Australia,Australia,Australia,42
19753,Female,HOWTH,Tasmania,Australia,Australia,28
19916,Male,LITTLE PLAIN,New South Wales,Australia,Australia,32
20069,Male,GWINDINUP,Western Australia,Australia,Australia,43
20092,Female,CAMBRIDGE GARDENS,New South Wales,Australia,Australia,76
20237,Male,WILLIAMSTOWN,Victoria,Australia,Australia,37
20623,Female,CARLYLE,Victoria,Australia,Australia,29
20802,Male,POLDA,South Australia,Australia,Australia,78
20946,Female,WINTHROP,Western Australia,Australia,Australia,24
21203,Male,CHARTWELL,Victoria,Australia,Australia,63
21387,Male,CREMORNE,New South Wales,Australia,Australia,53
21424,Male,HEYTESBURY LOWER,Victoria,Australia,Australia,83
21460,Female,GLENLYNN,Western Australia,Australia,Australia,66
21523,Male,SWANHAVEN,New South Wales,Australia,Australia,54
21575,Male,CRAIGIE,Western Australia,Australia,Australia,32
21654,Female,PARLIAMENT HOUSE,South Australia,Australia,Australia,73
21819,Female,Cleveland,Tasmania,Australia,Australia,23
21870,Female,BELTANA,South Australia,Australia,Australia,32
22158,Male,CHURCH POINT,New South Wales,Australia,Australia,27
22384,Male,PEARCE,Australian Capital Territory,Australia,Australia,72
22540,Male,BANDYA,Western Australia,Australia,Australia,34
22775,Male,NEEDLES,Tasmania,Australia,Australia,65
22826,Male,ASHFIELD,Queensland,Australia,Australia,47
23128,Male,SUMMERLANDS,Victoria,Australia,Australia,23
23203,Female,MADORA BAY,Western Australia,Australia,Australia,25
23267,Female,FLINDERS VIEW,Queensland,Australia,Australia,69
23320,Female,WITTENOOM,Western Australia,Australia,Australia,63
23431,Female,SHEEP HILLS,Victoria,Australia,Australia,53
23599,Female,FORRESTERS BEACH,New South Wales,Australia,Australia,34
23854,Male,MURRAWOMBIE,New South Wales,Australia,Australia,80
24069,Male,ULMARRA,New South Wales,Australia,Australia,38
24230,Female,DAVOREN PARK SOUTH,South Australia,Australia,Australia,44
24575,Female,PLACID HILLS,Queensland,Australia,Australia,23
24920,Female,CORNY POINT,South Australia,Australia,Australia,85
25308,Female,WEST WIANGAREE,New South Wales,Australia,Australia,36
25771,Female,BOOLCARROLL,New South Wales,Australia,Australia,64
25864,Male,SHIRLEY,Victoria,Australia,Australia,28
25935,Male,BURNT YARDS,New South Wales,Australia,Australia,48
26458,Male,Westbury,Victoria,Australia,Australia,44
26477,Male,MORISSET,New South Wales,Australia,Australia,64
26642,Male,ELIZABETH BEACH,New South Wales,Australia,Australia,45
26728,Female,MARRICKVILLE SOUTH,New South Wales,Australia,Australia,44
26906,Male,CLEMTON PARK,New South Wales,Australia,Australia,49
26914,Female,MOUNT COTTRELL,Victoria,Australia,Australia,83
26970,Female,BENDIGO SOUTH,Victoria,Australia,Australia,33
27125,Female,ARNO BAY,South Australia,Australia,Australia,47
27210,Male,MOOTAI,New South Wales,Australia,Australia,50
27356,Male,TURRAMURRA,New South Wales,Australia,Australia,54
27432,Female,CLEVE,South Australia,Australia,Australia,25
27492,Female,YAMBUK,Victoria,Australia,Australia,36
27616,Male,BANNOCKBURN,Victoria,Australia,Australia,36
27896,Male,JACUP,Western Australia,Australia,Australia,50
27945,Male,SOFALA,New South Wales,Australia,Australia,49
28076,Female,AVOCA,Tasmania,Australia,Australia,44
28559,Male,YILKI,South Australia,Australia,Australia,55
28690,Male,MILLCHESTER,Queensland,Australia,Australia,36
28702,Female,DREWVALE,Queensland,Australia,Australia,57
29041,Male,LINDENOW,Victoria,Australia,Australia,86
29278,Male,PINEVALE,Queensland,Australia,Australia,33
29303,Male,KIRTON POINT,South Australia,Australia,Australia,40
29320,Male,BLACKBUTT,New South Wales,Australia,Australia,85
29475,Female,TUROSS,New South Wales,Australia,Australia,58
29555,Male,GLEN MARTIN,New South Wales,Australia,Australia,31
29593,Male,BAKARA,South Australia,Australia,Australia,28
29647,Female,BRENDA,New South Wales,Australia,Australia,67
29689,Female,BURWOOD HEIGHTS,New South Wales,Australia,Australia,57
29812,Male,ST KILDA ROAD CENTRAL,Victoria,Australia,Australia,57
29837,Female,MOUNT GEORGE,New South Wales,Australia,Australia,85
29973,Female,DUCKINWILLA,Queensland,Australia,Australia,86
30090,Male,PARK AVENUE,Queensland,Australia,Australia,63
30278,Female,JACANA,Victoria,Australia,Australia,78
30428,Female,EARLSTON,Victoria,Australia,Australia,24
31086,Female,WITTENOOM,Western Australia,Australia,Australia,38
31164,Male,BOWES,Western Australia,Australia,Australia,75
31236,Female,THREE BRIDGES,Victoria,Australia,Australia,64
31288,Male,CLAY WELLS,South Australia,Australia,Australia,35
31374,Female,ST AGNES,South Australia,Australia,Australia,63
31721,Female,GULFVIEW HEIGHTS,South Australia,Australia,Australia,62
31784,Male,WAMBAN,New South Wales,Australia,Australia,55
32037,Male,LAKE MOKOAN,Victoria,Australia,Australia,34
32190,Female,DELAMERE,South Australia,Australia,Australia,69
32259,Female,SEVENHILL,South Australia,Australia,Australia,48
32294,Male,RITE ISLAND,Queensland,Australia,Australia,75
32455,Female,MOSQUITO CREEK,Queensland,Australia,Australia,26
32488,Male,STAFFORD DC,Queensland,Australia,Australia,69
32511,Male,Woodford,New South Wales,Australia,Australia,59
32538,Female,BOOMOODEERIE,New South Wales,Australia,Australia,37
32939,Female,WONGULLA,South Australia,Australia,Australia,72
33036,Male,BYNG,New South Wales,Australia,Australia,64
33205,Male,CRYSTAL BROOK,Queensland,Australia,Australia,80
33444,Male,CLAYTON,Victoria,Australia,Australia,55
34081,Female,FYANS CREEK,Victoria,Australia,Australia,84
34126,Female,MENINGIE EAST,South Australia,Australia,Australia,56
34143,Male,WARRANWOOD,Victoria,Australia,Australia,32
34431,Male,BEACONSFIELD,Western Australia,Australia,Australia,83
34451,Male,GLADSTONE,New South Wales,Australia,Australia,51
34462,Male,TALAROO,Queensland,Australia,Australia,85
34850,Female,BLUE VALE,New South Wales,Australia,Australia,63
34915,Female,MOUNT CRYSTAL,New South Wales,Australia,Australia,54
35257,Female,FERNHILL,New South Wales,Australia,Australia,53
35479,Male,COSSACK,Western Australia,Australia,Australia,45
35703,Male,LUGARNO,New South Wales,Australia,Australia,62
35733,Female,WAROONA,Western Australia,Australia,Australia,68
35795,Male,MOYARRA,Victoria,Australia,Australia,28
36112,Female,ANNUELLO,Victoria,Australia,Australia,86
36336,Female,DJARAWONG,Queensland,Australia,Australia,33
36418,Female,MOUNT DAVID,New South Wales,Australia,Australia,77
36507,Male,Golden Valley,Tasmania,Australia,Australia,68
36816,Male,LONGWARRY NORTH,Victoria,Australia,Australia,52
36918,Male,OWEN,South Australia,Australia,Australia,41
37070,Female,WANGANUI,New South Wales,Australia,Australia,42
37251,Male,GHERANG,Victoria,Australia,Australia,72
37408,Male,TORRENS,Australian Capital Territory,Australia,Australia,48
37580,Female,TOMAHAWK,Tasmania,Australia,Australia,81
37585,Female,YELTA,South Australia,Australia,Australia,79
37802,Male,SOUTH DUDLEY,Victoria,Australia,Australia,33
37991,Male,CARWELL,New South Wales,Australia,Australia,86
38006,Male,DYRAABA,New South Wales,Australia,Australia,68
38036,Female,UPPER YARRAMAN,Queensland,Australia,Australia,63
38183,Male,NEW ITALY,New South Wales,Australia,Australia,79
38195,Female,PAYNEDALE,Western Australia,Australia,Australia,51
38212,Female,WOOROONOOK,Victoria,Australia,Australia,38
38558,Female,BOSTOBRICK,New South Wales,Australia,Australia,77
38613,Male,Tacoma,New South Wales,Australia,Australia,35
38865,Male,WINDORAH,Queensland,Australia,Australia,75
38950,Female,ARTHUR RIVER,Tasmania,Australia,Australia,69
39183,Male,KURMOND,New South Wales,Australia,Australia,50
39246,Male,MANDALAY,Queensland,Australia,Australia,49
39268,Female,KALLANGUR,Queensland,Australia,Australia,48
39314,Male,LIGHT PASS,South Australia,Australia,Australia,38
39498,Female,SWANBROOK,New South Wales,Australia,Australia,27
39582,Male,RISDON,Tasmania,Australia,Australia,49
39592,Female,SOUTH SPRINGFIELD,Tasmania,Australia,Australia,58
39894,Female,JUNEE,New South Wales,Australia,Australia,82
39927,Male,SORELL,Tasmania,Australia,Australia,39
39996,Male,BENDOURA,New South Wales,Australia,Australia,22
40052,Female,WAVERTON,New South Wales,Australia,Australia,66
40221,Male,PARA HILLS WEST,South Australia,Australia,Australia,22
40327,Female,PIALLIGO,Australian Capital Territory,Australia,Australia,83
40363,Female,DOUBLE BAY,New South Wales,Australia,Australia,39
40443,Female,CARSS PARK,New South Wales,Australia,Australia,85
40649,Male,KANGIARA,New South Wales,Australia,Australia,51
40662,Male,MOUNT HICKS,Tasmania,Australia,Australia,63
40669,Male,MARTINS CREEK,New South Wales,Australia,Australia,55
40741,Male,HARLAXTON,Queensland,Australia,Australia,86
41281,Male,FITZGERALDS MOUNT,New South Wales,Australia,Australia,78
41386,Female,SEAL BAY,South Australia,Australia,Australia,75
41570,Male,East Point,Northern Territory,Australia,Australia,86
41674,Male,NORTH LAKE GRACE,Western Australia,Australia,Australia,85
41707,Male,YALLAH,New South Wales,Australia,Australia,66
41892,Female,DARGAN,New South Wales,Australia,Australia,40
42134,Male,EAST YUNA,Western Australia,Australia,Australia,81
42177,Male,ELLEKER,Western Australia,Australia,Australia,63
42364,Female,MARLO MERRICAN,New South Wales,Australia,Australia,71
42408,Male,THE PALMS,Queensland,Australia,Australia,35
42474,Male,NUBBA,New South Wales,Australia,Australia,23
42603,Female,CUSHNIE,Queensland,Australia,Australia,23
42840,Female,XANTIPPE,Western Australia,Australia,Australia,87
42956,Male,BARA,New South Wales,Australia,Australia,79
43784,Male,SNOWTOWN,South Australia,Australia,Australia,72
43798,Female,AMAMOOR,Queensland,Australia,Australia,57
43840,Female,OATLANDS,Tasmania,Australia,Australia,73
44080,Female,Brighton,Victoria,Australia,Australia,69
44195,Male,LOWER MANGROVE,New South Wales,Australia,Australia,39
44207,Female,KESWICK TERMINAL,South Australia,Australia,Australia,39
44301,Female,DUNNROCK,Queensland,Australia,Australia,76
44493,Female,JACKEYS MARSH,Tasmania,Australia,Australia,60
44496,Male,MOUNT JOY,South Australia,Australia,Australia,74
44728,Female,DIGGORA,Victoria,Australia,Australia,70
44906,Male,MOUNT GAMBIER,South Australia,Australia,Australia,29
45169,Female,GLENROY,Queensland,Australia,Australia,33
45172,Female,SCOPUS,Tasmania,Australia,Australia,37
45250,Male,SACKVILLE,New South Wales,Australia,Australia,55
45436,Female,MILLFIELD,New South Wales,Australia,Australia,71
45522,Male,TIMBILLICA,New South Wales,Australia,Australia,38
45781,Male,PONTVILLE,Tasmania,Australia,Australia,77
45814,Male,SPRING HILL,New South Wales,Australia,Australia,55
46155,Female,BOWES,Western Australia,Australia,Australia,67
46917,Male,MERU,Western Australia,Australia,Australia,23
46996,Male,MURRAY ISLAND,Queensland,Australia,Australia,36
47382,Female,NORTHGATE,South Australia,Australia,Australia,68
47518,Female,UNDULLAH,Queensland,Australia,Australia,77
47712,Male,CREMORNE,New South Wales,Australia,Australia,47
48080,Male,FERNY CREEK,Victoria,Australia,Australia,83
48247,Male,HAY FLAT,South Australia,Australia,Australia,56
48367,Female,INSKIP,Queensland,Australia,Australia,74
48383,Female,KOYUGA SOUTH,Victoria,Australia,Australia,72
48466,Female,HASTINGS POINT,New South Wales,Australia,Australia,39
48733,Female,BALCOLYN,New South Wales,Australia,Australia,34
48846,Female,BOWELLING,Western Australia,Australia,Australia,79
48925,Male,WOOLOCUTTY,Western Australia,Australia,Australia,84
49400,Male,WOOMBYE,Queensland,Australia,Australia,56
49501,Female,BUNGABBEE,New South Wales,Australia,Australia,41
49606,Female,GREYMARE,Queensland,Australia,Australia,73
49748,Male,PARUNA,South Australia,Australia,Australia,43
49776,Female,ROCKLEY MOUNT,New South Wales,Australia,Australia,79
49950,Female,EAST LAUNCESTON,Tasmania,Australia,Australia,25
50075,Male,MOUNT MURCHISON,Queensland,Australia,Australia,62
50122,Female,SURBITON,Queensland,Australia,Australia,44
50681,Male,MOUNT DRUITT VILLAGE,New South Wales,Australia,Australia,87
50705,Female,YEAGARUP,Western Australia,Australia,Australia,75
50719,Female,POINT GREY,Western Australia,Australia,Australia,28
50741,Male,FRANKFORD,Tasmania,Australia,Australia,81
51172,Female,ELINGAMITE,Victoria,Australia,Australia,66
51201,Female,BIRMINGHAM GARDENS,New South Wales,Australia,Australia,84
51228,Male,GIRU,Queensland,Australia,Australia,45
51314,Female,DUVERNEY,Victoria,Australia,Australia,69
51429,Male,WONBOYN LAKE,New South Wales,Australia,Australia,44
51648,Female,KYBUNGA,South Australia,Australia,Australia,34
51649,Male,YANDINA,Queensland,Australia,Australia,65
51718,Female,HACKNEY,South Australia,Australia,Australia,85
52435,Male,YADBORO,New South Wales,Australia,Australia,67
52536,Male,PINEWOOD,Victoria,Australia,Australia,36
52694,Female,Sheffield,Tasmania,Australia,Australia,51
53168,Male,JOYNER,Queensland,Australia,Australia,64
53260,Female,MOUNT FRANKLIN,Victoria,Australia,Australia,87
53318,Female,TOWNSON,Queensland,Australia,Australia,69
53891,Male,BINDA,New South Wales,Australia,Australia,79
53920,Female,BUCKENBOWRA,New South Wales,Australia,Australia,37
54089,Male,THE GLEN,New South Wales,Australia,Australia,87
54161,Male,WOODY POINT,Queensland,Australia,Australia,31
54535,Male,CANNINDAH,Queensland,Australia,Australia,66
54560,Female,ABINGDON DOWNS,Queensland,Australia,Australia,61
54582,Female,LIMONITE,Victoria,Australia,Australia,45
54627,Male,TROWUTTA,Tasmania,Australia,Australia,55
54704,Female,TRAVANCORE,Victoria,Australia,Australia,72
54752,Female,SOUTH BUNBURY,Western Australia,Australia,Australia,58
54794,Female,GARIE,New South Wales,Australia,Australia,58
54987,Male,MARMION,Western Australia,Australia,Australia,84
55039,Male,MOUNT MORIAC,Victoria,Australia,Australia,63
55066,Male,DOLLYS FLAT,New South Wales,Australia,Australia,81
55084,Male,PARAP,Northern Territory,Australia,Australia,60
55411,Female,PHOENIX PARK,New South Wales,Australia,Australia,41
55464,Female,PADDYS RIVER,New South Wales,Australia,Australia,42
55715,Female,HERDSMAN,Western Australia,Australia,Australia,37
55914,Male,SOUTH FREMANTLE,Western Australia,Australia,Australia,31
56161,Male,UPPER CASTRA,Tasmania,Australia,Australia,29
56480,Female,KYBUNGA,South Australia,Australia,Australia,48
56562,Female,ALBERT PARK,Victoria,Australia,Australia,74
56791,Male,DUNLUCE,Victoria,Australia,Australia,29
56834,Female,PIKES CREEK,Queensland,Australia,Australia,59
56951,Female,HURSTBRIDGE,Victoria,Australia,Australia,38
56999,Female,CORNDALE,New South Wales,Australia,Australia,39
57093,Male,SPRING MOUNTAIN,New South Wales,Australia,Australia,69
57246,Male,CITY WEST CAMPUS,South Australia,Australia,Australia,36
57294,Female,TRARALGON EAST,Victoria,Australia,Australia,43
57307,Female,RAINBOW,Victoria,Australia,Australia,43
57374,Male,COLONGRA,New South Wales,Australia,Australia,85
57491,Male,MILLBANK,Queensland,Australia,Australia,38
57662,Male,COALSTOUN LAKES,Queensland,Australia,Australia,41
57681,Male,ROCKWELL,Western Australia,Australia,Australia,65
57820,Male,DARGO,Victoria,Australia,Australia,72
57938,Male,LIPAROO,Victoria,Australia,Australia,44
58066,Male,ASHMONT,New South Wales,Australia,Australia,81
58105,Female,CAMBRAI,South Australia,Australia,Australia,43
58212,Female,OAKFORD,Western Australia,Australia,Australia,58
58710,Male,GOSNELLS,Western Australia,Australia,Australia,74
58919,Female,FLOREAT FORUM,Western Australia,Australia,Australia,63
59159,Female,CAPE HILLSBOROUGH,Queensland,Australia,Australia,76
59304,Male,CARLINGFORD,New South Wales,Australia,Australia,70
59422,Female,HILLGROVE,New South Wales,Australia,Australia,33
59529,Female,FOREST GLEN,New South Wales,Australia,Australia,31
59842,Male,BLETCHINGTON,New South Wales,Australia,Australia,84
59961,Male,GALORE,New South Wales,Australia,Australia,75
60009,Female,TOWNSVILLE CITY,Queensland,Australia,Australia,34
60088,Female,PAGES FLAT,South Australia,Australia,Australia,41
60150,Female,NORTHLAND CENTRE,Victoria,Australia,Australia,59
60407,Male,POZIERES,Queensland,Australia,Australia,79
60411,Female,HIGHBURY,Western Australia,Australia,Australia,85
60454,Male,LOWER LEWIS PONDS,New South Wales,Australia,Australia,70
60475,Male,CUDLEE CREEK,South Australia,Australia,Australia,75
60722,Male,KOOROOMOOL,Queensland,Australia,Australia,38
60892,Male,MOOLORT,Victoria,Australia,Australia,59
60995,Male,TUENA,New South Wales,Australia,Australia,68
61546,Female,COASTERS RETREAT,New South Wales,Australia,Australia,70
61718,Female,ALLIGATOR CREEK,Queensland,Australia,Australia,67
61773,Female,CAROONA,New South Wales,Australia,Australia,22
61776,Male,TALLOWWOOD RIDGE,New South Wales,Australia,Australia,69
61825,Male,ERSKINEVILLE,New South Wales,Australia,Australia,28
61881,Female,ALBERTON,Victoria,Australia,Australia,29
61947,Female,NORVAL,Victoria,Australia,Australia,27
62017,Female,HASTINGS,Western Australia,Australia,Australia,69
62035,Male,TIARO,Queensland,Australia,Australia,71
62038,Male,HINDMARSH,South Australia,Australia,Australia,26
62076,Male,ORIELTON,Tasmania,Australia,Australia,78
62125,Female,IVERAGH,Queensland,Australia,Australia,45
62133,Male,GWABEGAR,New South Wales,Australia,Australia,27
62163,Female,POINT LEO,Victoria,Australia,Australia,62
62416,Female,EIMEO,Queensland,Australia,Australia,80
62473,Female,PORT GERMEIN,South Australia,Australia,Australia,57
62537,Female,WOOLOOMAN,Queensland,Australia,Australia,86
62590,Male,ROMAINE,Tasmania,Australia,Australia,51
63342,Male,KWEDA,Western Australia,Australia,Australia,52
63597,Male,RIVERHILLS,Queensland,Australia,Australia,84
63681,Male,POSSUM BRUSH,New South Wales,Australia,Australia,87
63807,Male,ALLAMBIE HEIGHTS,New South Wales,Australia,Australia,75
63957,Female,FORTHSIDE,Tasmania,Australia,Australia,32
64017,Female,BRIGHTVIEW,Queensland,Australia,Australia,59
64037,Male,WONGARBON,New South Wales,Australia,Australia,87
64104,Female,COOTRA,South Australia,Australia,Australia,85
64210,Male,Sheffield,Tasmania,Australia,Australia,31
64491,Male,MELBA,Australian Capital Territory,Australia,Australia,26
64511,Female,ARGOON,Queensland,Australia,Australia,60
64764,Male,LESLEY,Western Australia,Australia,Australia,37
64842,Male,MOUNT OUSLEY,New South Wales,Australia,Australia,52
64989,Female,COMMISSIONERS CREEK,New South Wales,Australia,Australia,29
65112,Female,POINT TURTON,South Australia,Australia,Australia,72
65163,Female,Beaufort,Victoria,Australia,Australia,69
65180,Female,NORTHLAKES,Northern Territory,Australia,Australia,44
65210,Female,DOWLINGVILLE,South Australia,Australia,Australia,75
65269,Female,BARWIDGEE,Victoria,Australia,Australia,82
65283,Female,BUNGUNDARRA,Queensland,Australia,Australia,80
65372,Male,LONG FLAT,Queensland,Australia,Australia,37
65507,Female,DARLING HEIGHTS,Queensland,Australia,Australia,44
65544,Male,LAKE MUIR,Western Australia,Australia,Australia,66
65856,Male,ARNOLD WEST,Victoria,Australia,Australia,68
66352,Female,NULSEN,Western Australia,Australia,Australia,64
66610,Female,FERNSHAW,Victoria,Australia,Australia,41
66677,Female,TINGHA,New South Wales,Australia,Australia,45
67066,Male,MOUNT RICHON,Western Australia,Australia,Australia,73
67157,Male,KIAMA DOWNS,New South Wales,Australia,Australia,86
67217,Male,JUBILEE HEIGHTS,Queensland,Australia,Australia,40
67369,Female,ZADOWS LANDING,South Australia,Australia,Australia,26
67380,Female,HORSNELL GULLY,South Australia,Australia,Australia,65
67398,Male,MONASH,Australian Capital Territory,Australia,Australia,25
67455,Male,GREEN HILLS,New South Wales,Australia,Australia,30
67481,Male,RED BANKS,South Australia,Australia,Australia,69
67744,Male,PUNCHBOWL,Tasmania,Australia,Australia,79
